field_id,field_name,canonical_csv_name,endpoint,json_path,parent_object,yahoo_type,csv_type,db_type,applies_to,field_category,description,units,enum_group,update_frequency,nullable,presence,stability,evidence_status,evidence_symbols,evidence_market_states,example_value,formula_relationship,related_fields,validation_rule,parser_action,flattening_rule,collision_group,source_url,developer_notes,first_seen_release,last_reviewed_date,status
YF00011,currency,currency,quote,quoteResponse.result[].currency,quoteResponse.result[],string enum,TEXT,CHAR(3),Most,Currency,Trading currency code,ISO-style currency code,currency,Static/infrequent,Yes,Common,Common,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,USD,,financialCurrency,Store as text,Map,Flatten object field,currency,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Not exhaustive; use returned value.,v0.3.0,2026-07-09,draft
YF00012,financialCurrency,financial_currency,quote,quoteResponse.result[].financialCurrency,quoteResponse.result[],string enum,TEXT,CHAR(3),Equity;ETF;Fund,Currency,Financial-reporting currency where separate from trading currency,ISO-style currency code,currency,Static/infrequent,Yes,Conditional,Common,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,USD,,currency,Store as text,Map,Flatten object field,currency,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",May be absent outside quoteSummary.,v0.3.0,2026-07-09,draft
YF00013,quoteSourceName,quote_source_name,quote,quoteResponse.result[].quoteSourceName,quoteResponse.result[],string,TEXT,TEXT,Most,Source,Yahoo quote source display name,,,Varies,Yes,Common,Variable,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,Nasdaq Real Time Price,,exchangeDataDelayedBy;sourceInterval,Display-only,Map,Flatten object field,source,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Do not infer entitlement/real-time solely from text.,v0.3.0,2026-07-09,draft
YF00014,sourceInterval,source_interval,quote,quoteResponse.result[].sourceInterval,quoteResponse.result[],integer,INTEGER,INTEGER,Most,Source,Yahoo source interval hint,Minutes/seconds as returned,,Intraday,Yes,Common,Variable,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,15,,exchangeDataDelayedBy,Numeric if present,Map,Flatten object field,source,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Meaning can vary; preserve raw.,v0.3.0,2026-07-09,draft
YF00015,exchangeDataDelayedBy,exchange_data_delayed_by,quote,quoteResponse.result[].exchangeDataDelayedBy,quoteResponse.result[],integer,INTEGER,INTEGER,Most,Source,Minutes by which exchange data may be delayed,Minutes,,Intraday,Yes,Common,Common,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,0,,quoteSourceName;sourceInterval,"If > 0, flag quote as delayed",Map,Flatten object field,source,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Use alongside retrieval timestamp.,v0.3.0,2026-07-09,draft
YF00016,tradeable,tradeable,quote,quoteResponse.result[].tradeable,quoteResponse.result[],boolean,BOOLEAN,BOOLEAN,Most,Trading Status,Whether Yahoo flags the instrument as tradeable,,,Varies,Yes,Common,Variable,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,false,,cryptoTradeable,Boolean if present,Map,Flatten object field,status,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Not a recommendation or brokerage availability flag.,v0.3.0,2026-07-09,draft
YF00017,cryptoTradeable,crypto_tradeable,quote,quoteResponse.result[].cryptoTradeable,quoteResponse.result[],boolean,BOOLEAN,BOOLEAN,Crypto,Trading Status,Yahoo crypto tradeability flag,,,Varies,Yes,Conditional,Variable,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,true,,tradeable,Boolean if present,Map,Flatten object field,status,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Crypto-specific flag.,v0.3.0,2026-07-09,draft
YF00018,regularMarketPrice,regular_market_price,quote,quoteResponse.result[].regularMarketPrice,quoteResponse.result[],number,DECIMAL,"DECIMAL(28,10)",Most,Market Data,Latest regular-session price or last known regular-market value,Price/currency units,,Intraday/delayed,Yes,Common,Common,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,190.54,,regularMarketPreviousClose;regularMarketChange,Numeric if present,Map,Flatten object field,price,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",For mutual funds/CEFs may reflect previous NAV/close timing.,v0.3.0,2026-07-09,draft
YF00019,regularMarketPreviousClose,regular_market_previous_close,quote,quoteResponse.result[].regularMarketPreviousClose,quoteResponse.result[],number,DECIMAL,"DECIMAL(28,10)",Most,Market Data,Previous regular-session close,Price/currency units,,Daily,Yes,Common,Common,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,189.77,,regularMarketPrice;regularMarketChange,Numeric if present,Map,Flatten object field,price,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Base for change fields.,v0.3.0,2026-07-09,draft
YF00020,regularMarketChange,regular_market_change,quote,quoteResponse.result[].regularMarketChange,quoteResponse.result[],number,DECIMAL,"DECIMAL(28,10)",Most,Derived Market Data,Change from previous close,Price/currency units,,Intraday/delayed,Yes,Common,Variable,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,0.77,regularMarketPrice - regularMarketPreviousClose,regularMarketPrice;regularMarketPreviousClose,Approx equal to price - previous close; rounding allowed,Map,Flatten object field,price_change,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Yahoo-derived; validate softly.,v0.3.0,2026-07-09,draft
YF00021,regularMarketChangePercent,regular_market_change_percent,quote,quoteResponse.result[].regularMarketChangePercent,quoteResponse.result[],number,DECIMAL,"DECIMAL(18,8)",Most,Derived Market Data,Percent change from previous close,Percent units,,Intraday/delayed,Yes,Common,Variable,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,0.405,regularMarketChange / regularMarketPreviousClose * 100,regularMarketChange;regularMarketPreviousClose,Approx relationship; rounding allowed,Map,Flatten object field,percent,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F","Percent unit, not decimal fraction.",v0.3.0,2026-07-09,draft
YF00022,regularMarketOpen,regular_market_open,quote,quoteResponse.result[].regularMarketOpen,quoteResponse.result[],number,DECIMAL,"DECIMAL(28,10)",Most,Market Data,Regular session open price,Price/currency units,,Intraday/delayed,Yes,Common,Common,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,190.00,,regularMarketDayHigh;regularMarketDayLow,Numeric if present,Map,Flatten object field,price,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",May be null before market open.,v0.3.0,2026-07-09,draft
YF00023,regularMarketDayLow,regular_market_day_low,quote,quoteResponse.result[].regularMarketDayLow,quoteResponse.result[],number,DECIMAL,"DECIMAL(28,10)",Most,Market Data,Regular session low price,Price/currency units,,Intraday/delayed,Yes,Common,Common,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,188.80,,regularMarketDayHigh;regularMarketPrice,dayLow <= dayHigh when both present,Map,Flatten object field,price,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Do not substitute zero for missing.,v0.3.0,2026-07-09,draft
YF00024,regularMarketDayHigh,regular_market_day_high,quote,quoteResponse.result[].regularMarketDayHigh,quoteResponse.result[],number,DECIMAL,"DECIMAL(28,10)",Most,Market Data,Regular session high price,Price/currency units,,Intraday/delayed,Yes,Common,Common,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,191.20,,regularMarketDayLow;regularMarketPrice,dayHigh >= dayLow when both present,Map,Flatten object field,price,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Do not substitute zero for missing.,v0.3.0,2026-07-09,draft
YF00025,regularMarketVolume,regular_market_volume,quote,quoteResponse.result[].regularMarketVolume,quoteResponse.result[],integer,INTEGER,BIGINT,Equity;ETF;CEF;Crypto;Future,Volume,Regular session or latest reported volume,Shares/contracts/units,,Intraday/delayed,Yes,Common,Common,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,38321242,,averageDailyVolume3Month,Must be >= 0 if present,Map,Flatten object field,volume,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Volume may be absent or zero for indices/forex/mutual funds.,v0.3.0,2026-07-09,draft
YF00026,regularMarketTime,regular_market_time_epoch_s,quote,quoteResponse.result[].regularMarketTime,quoteResponse.result[],unix seconds,DATETIME,BIGINT + TIMESTAMP,Most,Time,Timestamp for latest regular-market quote/update,Unix seconds,,Intraday/delayed,Yes,Common,Common,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,1689278404,,regularMarketPrice;marketState,Convert from Unix seconds,Map,Flatten object field,time,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Keep raw epoch and optional converted UTC/exchange datetime.,v0.3.0,2026-07-09,draft
YF00027,bid,bid,quote,quoteResponse.result[].bid,quoteResponse.result[],number,DECIMAL,"DECIMAL(28,10)",Equity;ETF;Option;Future,Bid/Ask,Current bid price,Price/currency units,,Intraday/delayed,Yes,Conditional,Variable,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,190.50,,ask;bidSize,ask >= bid when both present and nonzero,Map,Flatten object field,bidask,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Often absent/zero for mutual funds and some symbols.,v0.3.0,2026-07-09,draft
YF00028,ask,ask,quote,quoteResponse.result[].ask,quoteResponse.result[],number,DECIMAL,"DECIMAL(28,10)",Equity;ETF;Option;Future,Bid/Ask,Current ask price,Price/currency units,,Intraday/delayed,Yes,Conditional,Variable,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,190.55,,bid;askSize,ask >= bid when both present and nonzero,Map,Flatten object field,bidask,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Field name collides with options contract ask.,v0.3.0,2026-07-09,draft
YF00029,bidSize,bid_size,quote,quoteResponse.result[].bidSize,quoteResponse.result[],integer,INTEGER,INTEGER,Equity;ETF;Option;Future,Bid/Ask,Displayed bid size,Lots/contracts as returned,,Intraday/delayed,Yes,Conditional,Variable,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,1,,bid,Must be >= 0 if present,Map,Flatten object field,bidask,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Interpret by asset type.,v0.3.0,2026-07-09,draft
YF00030,askSize,ask_size,quote,quoteResponse.result[].askSize,quoteResponse.result[],integer,INTEGER,INTEGER,Equity;ETF;Option;Future,Bid/Ask,Displayed ask size,Lots/contracts as returned,,Intraday/delayed,Yes,Conditional,Variable,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,1,,ask,Must be >= 0 if present,Map,Flatten object field,bidask,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Interpret by asset type.,v0.3.0,2026-07-09,draft
